	mgm4472160.3	mgm4472167.3	mgm4472253.3	mgm4472255.3	mgm4472304.3	mgm4472305.3	mgm4472312.3	mgm4472337.3	mgm4472353.3	mgm4472361.3	mgm4472397.3	mgm4472419.3	mgm4472428.3	mgm4472444.3	mgm4472462.3	mgm4472464.3	mgm4472467.3	mgm4472473.3	mgm4472484.3	mgm4472495.3	mgm4472580.3	mgm4472586.3	mgm4472682.3	mgm4472751.3	mgm4472934.3	mgm4473326.3	mgm4473472.3	mgm4473666.3	mgm4478487.3	mgm4478571.3	median	mean	sd	chi-squared_stat	p	bonferroni_p	BH_p
Inositol_catabolism	24036	20912	9101	32441	46028	44659	0	0	19124	0	5635	0	0	15957	0	0	1022	0	33268	11391	0	0	0	0	0	0	113	7387	20022	105	109	9706.7	14119.9635223471	22.0091336633663	1.66256008340211e-05	0.012602205432188	0.000141346348263823
Transcription_factors_bacterial	121512	114290	105216	88302	105022	121796	63283	0	86654	0	69932	92226	182281	0	94342	0	0	0	119929	102117	0	0	0	97510	0	0	63421	51984	102971	62984	66676.5	61525.7333333333	53060.3420943346	21.9816608187135	1.68555528517439e-05	0.0127765090616219	0.000141346348263823
DNA_structural_proteins,_bacterial	19413	30957	31211	18066	34661	33048	7190	0	16597	1548	10147	17902	33217	10656	22689	0	1804	0	26981	19906	0	0	0	22537	0	0	10718	12980	15653	10460	11849	13611.3666666667	11932.3777596442	21.9350714123782	1.72528069464881e-05	0.013077627665438	0.000141346348263823
Tryptophan_catabolism	17293	13815	13143	14220	12750	15698	12221	6153	12443	2972	10004	12724	18717	11698	5721	0	5262	5805	13180	14138	0	0	0	13859	0	0	6942	7733	15122	6674	10851	8942.9	5917.79674372143	21.9203587443946	1.73801923269225e-05	0.0131741857838073	0.000141346348263823
Ammonia_assimilation	40961	55407	52750	48566	45496	53664	30302	0	51876	0	22861	59553	55756	26405	37078	0	0	0	53747	50943	0	0	0	46899	0	0	28689	25485	36029	33064	31683	28517.7	22626.9965674969	21.9033718244804	1.75284389667538e-05	0.0132865567367994	0.000141346348263823
Entner-Doudoroff_Pathway	137945	131174	113657	122250	126775	152385	122611	0	137959	0	100519	180819	224616	83313	115004	0	0	0	142687	131374	0	0	0	107718	0	0	95741	102071	120256	94877	104894.5	84791.7	66295.4295388037	21.9033718244804	1.75284389667538e-05	0.0132865567367994	0.000141346348263823
Conjugative_transposon,_Bacteroidales	4785	1473	6439	3236	6116	6704	10593	164969	8085	168622	8747	22299	20730	1166	17858	187829	177440	208953	5280	5790	178117	193313	152295	2819	157822	152293	9831	9486	4361	9618	9724.5	63568.9666666667	80357.4484303741	21.8348387096774	1.81394877053097e-05	0.0137497316806247	0.000144272401421451
CBSS-312309.3.peg.1965	59559	64240	60154	55387	60336	69131	59759	0	56199	0	44865	64292	104307	36970	55345	0	0	0	68885	59329	0	0	0	54231	0	0	32219	36736	50924	47306	49115	38005.8	29975.252927983	21.7667436489607	1.87677267694269e-05	0.0142259368912256	0.000144272401421451
Heme,_hemin_uptake_and_utilization_systems_in_GramPositives	14658	12433	10944	11224	14175	14202	9965	0	9548	0	4805	10682	16969	9076	4921	0	0	0	15048	12076	0	0	0	12278	0	0	11837	8103	11272	11373	9756.5	7519.63333333333	5956.33519866458	21.7667436489607	1.87677267694269e-05	0.0142259368912256	0.000144272401421451
Na(+)-translocating_NADH-quinone_oxidoreductase_and_rnf-like_group_of_electron_transport_complexes	48388	71151	55988	38287	72426	84389	46928	0	49564	0	38777	50468	114708	25628	54530	0	0	0	67948	51911	0	0	0	50498	0	0	25033	37971	47380	24109	38532	35202.7333333333	30765.2395944798	21.7667436489607	1.87677267694269e-05	0.0142259368912256	0.000144272401421451
Gram_Positive_Competence	9826	12231	11022	7246	12006	11931	3560	0	6130	0	0	0	9506	6753	3345	0	0	0	10199	6362	0	0	0	0	0	0	0	0	7404	0	0	3917.36666666667	4708.67510821384	21.7587418086501	1.88429653571552e-05	0.0142829677407237	0.000144272401421451
MukBEF_Chromosome_Condensation	16215	28048	28710	17104	33248	31669	5516	21	15267	574	10147	16961	30526	9894	21245	0	1142	0	24045	18882	6	0	0	21003	0	0	9238	12149	13100	8933	11148	12454.7666666667	11169.799413762	21.6940807174888	1.94621236389771e-05	0.0147522897183447	0.00014444726196716
Calvin-Benson_cycle	157281	149111	131558	142037	144912	164849	133871	0	144687	0	124149	189457	258161	89515	136989	0	83133	0	161615	145054	0	0	0	119434	0	0	87897	112589	132720	86247	121791.5	96508.8666666667	72060.5447674975	21.67808	1.96184521181486e-05	0.0148707867055566	0.00014444726196716
Carbon_Starvation	19269	20276	20124	17065	22562	23915	15050	0	22684	0	16431	23919	35769	11554	17859	0	7259	0	19887	19503	0	0	0	19206	0	0	9502	12573	16481	9223	15740.5	12670.3666666667	9932.4043291376	21.67808	1.96184521181486e-05	0.0148707867055566	0.00014444726196716
Stringent_Response,_(p)ppGpp_metabolism	45744	45501	42287	40148	42450	49998	41248	0	42730	0	40970	58445	79644	27965	41206	0	0	0	45801	43758	0	0	0	37189	0	0	27829	35794	38516	27558	37852.5	28492.7	22474.9267378653	21.6354734411086	2.00408729853283e-05	0.0151909817228789	0.00014444726196716
Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	53136	49182	42561	45550	54252	45810	34049	17990	36598	17302	32400	47862	71654	19337	35266	21060	0	22206	56407	42444	14086	16911	17138	36917	0	17603	32104	25821	45290	29914	33224.5	32695	16948.0017355317	21.5764129951046	2.06415092478209e-05	0.0156462640098482	0.00014444726196716
Biphenyl_Degradation	17293	13815	13143	14220	12750	15698	12221	6153	12443	2972	10004	12724	20291	11698	5721	0	5404	5805	13180	14138	0	0	0	14526	0	0	6942	7733	15122	6674	10851	9022.33333333333	6030.45157189074	21.5666367713004	2.07426542575212e-05	0.0157229319272011	0.00014444726196716
A_Gammaproteobacteria_Cluster_Relating_to_Translation	53332	52978	48845	49439	58494	58845	48371	22579	50977	20318	48389	70672	84742	31023	45086	0	21451	28135	57827	51400	0	0	0	37649	0	0	38991	40036	46511	38337	42561	36814.2333333333	23112.4589400181	21.5458295964126	2.09595787146299e-05	0.0158873606656895	0.00014444726196716
Ribonucleotide_reduction	107411	90609	95652	92081	91633	103127	83953	0	86300	0	93189	137193	151288	60720	83179	0	47003	0	108435	99975	0	0	0	76801	0	0	75409	72881	87362	74231	79990	63947.7333333333	46692.2086839818	21.5428571428571	2.099075256173e-05	0.0159109904417913	0.00014444726196716
Unknown_carbohydrate_utilization_(_cluster_Ydj_)	22705	22817	20394	19178	20802	22417	15719	4008	16530	3615	17485	23422	30146	14665	15165	6017	5454	4783	21905	19169	3069	4312	6077	14686	5537	0	12201	14720	18557	11914	14942.5	13915.6333333333	7884.01644745102	21.5251612903226	2.11773012602478e-05	0.0160523943552678	0.00014444726196716
Cinnamic_Acid_Degradation	17293	13815	13143	14220	12750	15698	12221	6157	12443	2972	10004	12724	18717	11698	5721	0	6545	5805	13180	14138	0	2193	0	13859	1281	0	6942	7733	15122	6674	10851	9101.6	5727.51133655315	21.5110813823857	2.13269145035545e-05	0.0161658011936943	0.00014444726196716
CBSS-344610.3.peg.2335	14238	15875	15178	13911	14138	15896	12848	0	14157	0	14766	21817	22379	9260	13688	0	0	0	16692	15993	0	0	0	12214	0	0	7823	11443	12271	7767	12242.5	9411.8	7413.39178923451	21.5095612009238	2.13431310558337e-05	0.016178093340322	0.00014444726196716
Propionate-CoA_to_Succinate_Module	22656	15584	16141	13625	8864	17937	37041	0	24377	0	28043	31317	56286	12848	25671	0	0	0	8163	10545	0	0	0	24597	0	0	9790	17710	21997	9602	11696.5	13759.8	13666.8405485434	21.5095612009238	2.13431310558337e-05	0.016178093340322	0.00014444726196716
Sporulation-related_Hypotheticals	27241	25930	23881	25545	24393	28649	25353	0	24824	0	24626	37149	41756	17578	22491	0	0	0	29528	27220	0	0	0	18544	0	0	19268	20180	23482	19199	21335.5	16894.5666666667	13063.9962774329	21.5095612009238	2.13431310558337e-05	0.016178093340322	0.00014444726196716
tRNA_aminoacylation,_Pro	34517	33418	29936	31725	31700	36958	29320	0	32689	12229	30977	44593	53631	21245	27492	0	12725	17493	36653	33385	9531	0	0	24842	8878	0	21659	24810	29329	21664	26167	23046.6333333333	14243.4605478501	21.4736089385475	2.17302671594366e-05	0.0164715425068529	0.000144777217517849
Glycogen_metabolism	138171	132669	105725	122162	136560	151873	76229	0	87880	0	101853	144425	171862	74797	81551	0	72260	0	153075	127994	53727	0	0	100601	0	0	67227	79653	112387	66577	80602	78641.9333333333	56167.7311347271	21.4695987304466	2.17738823179879e-05	0.0165046027970348	0.000144777217517849
Universal_stress_protein_family	3055	4985	5220	3025	5148	5045	971	0	2622	57	2122	2580	5760	2036	3952	4	581	3	4193	3499	0	27	0	4443	29	0	1996	2250	2454	1931	2186	2266.26666666667	1939.42554476272	21.4257302118172	2.22567526410871e-05	0.016870618501944	0.000145198515738805
Fratricide_in_Streptococcus	1216	3789	2201	736	2708	2716	475	0	1885	0	441	1348	910	990	373	0	0	0	751	321	0	37	0	1602	0	0	1529	530	1661	1551	633	925.666666666667	999.677062798311	21.4129371428572	2.23995750239447e-05	0.0169788778681501	0.000145198515738805
Vibrio_Polysaccharide_(VPS)_Biosynthesis	21061	19105	20864	21269	18450	12207	9957	0	0	0	9152	13530	16515	6597	8910	0	0	0	16632	24417	0	0	0	8284	0	0	14900	7225	17075	14132	9031	9342.73333333333	8378.11228402187	21.41183625731	2.24119081021639e-05	0.0169882263414402	0.000145198515738805
Leucine_Biosynthesis	75047	78720	76346	71837	72658	85397	73264	0	75209	0	66889	115094	125020	47649	73329	0	0	0	86595	80422	0	0	0	65482	0	0	43510	59427	64401	43034	64941.5	49311	39015.2397421563	21.3890069284065	2.26691981590882e-05	0.0171832522045889	0.000145620781394821
CytR_regulation	1909	3340	3063	2007	3132	3003	782	0	1278	0	1299	1774	3813	1087	2729	0	516	0	2543	1851	0	0	0	2674	0	0	1283	1366	1565	1274	1291	1409.6	1211.57291894918	21.28832	2.38396594663206e-05	0.018070461875471	0.000151683617692987
Terminal_cytochrome_C_oxidases	11025	8121	11481	7352	7830	10100	25962	0	13371	0	19183	15485	42805	7618	11087	0	0	0	2738	7017	0	0	0	15238	0	0	3789	11161	11005	3810	7485	8205.93333333333	9384.23593029301	21.2738106235566	2.40132376294967e-05	0.0182020341231585	0.000151683617692987
Quorum-sensing_in_Vibrio	6656	6233	6224	5817	5783	6765	5002	2346	5698	1597	5847	6682	9935	4025	4125	2092	1681	3026	6423	5913	1516	2251	0	5423	0	0	3781	4544	5794	3686	4773	4295.5	2415.09513984082	21.2550434201737	2.42396288078763e-05	0.0183736386363702	0.000151848253193142
Cell_division-ribosomal_stress_proteins_cluster	170926	160593	149257	150905	155580	177153	126793	0	149545	0	139569	191339	238462	0	128486	0	0	0	176752	156311	0	0	0	125638	0	0	95566	109128	144116	94189	126215.5	94676.9333333333	78075.4706121311	21.2327485380117	2.45113503278606e-05	0.0185796035485183	0.000152291832364904
Peptide_methionine_sulfoxide_reductase	34213	33847	29369	29257	31918	33590	23738	0	21802	0	30101	40014	48086	23315	23244	0	0	0	33816	27661	0	0	0	25721	0	0	21346	24389	27549	20812	23526.5	19459.6	15058.913787361	21.1639722863741	2.53689101577912e-05	0.0192296338996057	0.000155077692738756
tRNA_aminoacylation,_Trp	22934	21106	18672	20088	19833	22861	19501	0	19822	0	21513	28809	37780	14568	19236	0	0	0	23914	20953	0	0	0	16515	0	0	15101	17028	19284	14797	17850	13810.5	10805.0045197776	21.1639722863741	2.53689101577912e-05	0.0192296338996057	0.000155077692738756
Glutathione:_Non-redox_reactions	12928	6388	6133	5376	6351	6555	3649	0	4991	0	435	277	8266	4208	4789	0	4636	0	7226	6248	0	0	0	4700	0	0	0	3228	10570	0	3928.5	3565.13333333333	3624.11694579267	21.1432046783626	2.56337083758262e-05	0.0194303509488763	0.00015544280759101
CBSS-176279.3.peg.868	26257	24148	21612	24539	26897	26403	22289	10652	23495	9914	23999	35324	41122	16069	21323	11866	10135	13291	26575	25118	10586	0	9435	17827	0	9149	17905	19357	22529	17842	20340	18855.2666666667	9221.44622113014	21.1040498442368	2.61404947734486e-05	0.019814495038274	0.00015612342138163
Translation_termination_factors_bacterial	98689	106538	98144	81938	99400	117107	69934	0	93060	0	71400	104853	141766	48960	76418	0	0	70532	102277	84037	0	0	0	79001	0	0	51259	57130	93963	50311	70966	59890.5666666667	44486.2135805778	21.10272	2.61578819465264e-05	0.019827674515467	0.00015612342138163
Serotype_determining_Capsular_polysaccharide_biosynthesis_in_Staphylococcus	69	61	58	0	57	36	192	3037	24	2248	547	329	744	0	483	3500	2811	3601	0	22	2683	2888	3784	401	6509	3243	0	333	101	24	331	1259.5	1702.72057662699	21.0845004460303	2.63972631165127e-05	0.0200091254423166	0.000156321292518098
CBSS-320372.3.peg.6046	28483	32858	33129	27769	33185	30726	31389	0	30969	0	29397	44538	47972	17240	25528	0	0	0	29916	31096	0	0	0	23006	0	0	19926	23555	24612	19878	24083.5	19505.7333333333	15286.9648211696	21.0594919168591	2.6729413801059e-05	0.0202608956612027	0.00015706120667599
Glycogen_metabolism_cluster	112621	107586	82446	101330	110043	126606	64628	0	73197	0	85531	125060	145152	57524	67300	0	61868	0	126645	105258	45072	0	0	77637	0	0	52622	67100	93051	51948	67200	64674.1666666667	46613.0078434405	21.0041260485151	2.74796995450119e-05	0.020829612255119	0.000158298608395064
DNA_repair,_bacterial_UmuCD_system	21269	23939	22073	19303	22103	25870	19683	10058	19794	8914	19910	32114	35473	12987	17848	10755	10058	12613	26558	21236	6489	8554	9264	14786	8143	9523	17120	17232	18282	16364	17540	17277.1666666667	7244.85510710797	20.9724076546506	2.79189796192804e-05	0.0211625865514145	0.000158298608395064
Proteasome_bacterial	82106	80702	80162	75574	80061	87935	68198	37979	76623	31665	72524	105445	134517	46866	79377	38054	33039	43324	87844	78995	24569	32109	31549	64363	24695	31330	57174	64086	68342	56404	66280.5	62520.3666666667	26374.4956473868	20.9677419354839	2.79841867083623e-05	0.0212120135249386	0.000158298608395064
tRNA_aminoacylation,_Asp_and_Asn	89021	78138	70776	79439	80532	90756	80432	30582	80697	25714	66429	101052	137789	56283	71632	32454	28964	35499	89856	87254	19787	26016	26550	58447	19599	26316	60393	65145	73011	59449	65787	61600.4	29114.7206049354	20.9677419354839	2.79841867083623e-05	0.0212120135249386	0.000158298608395064
tRNA_aminoacylation,_Gly	46802	43986	39753	40680	42658	49253	39863	14114	44055	11915	41477	60731	72782	28923	39097	14769	12342	16123	48166	43296	9871	11984	11948	32472	9492	12405	30230	34552	39729	29303	36824.5	32425.7	16668.1876311402	20.9677419354839	2.79841867083623e-05	0.0212120135249386	0.000158298608395064
tRNA_aminoacylation,_Cys	24691	22174	20250	21817	20968	25444	20809	0	23200	0	0	32655	39256	16542	20528	0	0	0	26402	23167	0	0	0	17328	0	0	16890	17920	20859	16474	17624	14245.8	11900.0769351324	20.8908538011696	2.90809597929266e-05	0.0220433675230384	0.000163284203874358
Cluster_Ytf_and_putative_sugar_transporter	32220	35959	34606	27758	33584	35949	26592	0	25746	0	29540	38379	55533	21104	31114	0	6361	0	32198	29088	0	0	0	27541	0	0	20979	23707	26827	20619	26169	20513.4666666667	15687.7874195038	20.84288	2.97869553566094e-05	0.02257851216031	0.000164806658104452
Putative_sugar_ABC_transporter_(ytf_cluster)	32220	35959	34606	27758	33584	35949	26592	0	25746	0	29540	38379	55533	21104	31114	0	6361	0	32198	29088	0	0	0	27541	0	0	20979	23707	26827	20619	26169	20513.4666666667	15687.7874195038	20.84288	2.97869553566094e-05	0.02257851216031	0.000164806658104452
CBSS-306254.1.peg.1508	15238	12335	12561	11792	9265	13610	19202	0	13690	0	18516	23323	31488	8837	14736	0	0	0	12421	11971	0	0	0	13814	0	0	10479	13289	13407	10863	11881.5	9694.56666666667	8168.39673072842	20.7781986143187	3.07660328172284e-05	0.0233206528754591	0.000165271010925696
Novel_non-oxidative_pathway_of_Uracil_catabolism	22014	20215	22547	22315	20906	23407	0	0	15142	0	0	5579	35139	9662	5743	0	0	0	25344	22250	0	0	0	19940	0	0	11096	0	17982	15983	7702.5	10508.8	10875.306259342	20.7766642459453	3.0789645087416e-05	0.0233385509762613	0.000165271010925696
tRNA_aminoacylation,_Met	34768	32630	29819	31875	30032	35610	30128	0	31750	0	31955	45870	54623	21404	30001	0	18894	0	36322	33403	0	0	0	24095	14578	0	23964	26502	28922	23666	27712	22360.3666666667	15525.5549547842	20.7753343912945	3.081012477177e-05	0.0233540745770017	0.000165271010925696
Methionine_Degradation	122216	112023	108831	88041	120185	126456	68235	58625	122339	59507	74681	108482	121254	43002	67576	0	66719	79040	142087	121050	47521	0	0	79660	49384	0	72682	62660	101312	71213	73681.5	76492.7	40757.9777485129	20.7661984392419	3.09511866213806e-05	0.0234609994590065	0.000165271010925696
Formate_dehydrogenase	16057	27321	27054	16147	22339	21591	8047	0	15282	177	12798	17801	29712	9252	23743	0	1964	0	22963	18393	0	42	0	21030	131	0	8462	10862	12755	8577	11808.5	11750	9946.30474095782	20.7655605381166	3.09610600942596e-05	0.0234684835514488	0.000165271010925696
tRNA_aminoacylation,_Glu_and_Gln	73772	68412	63718	68522	65918	79339	72336	0	75805	24030	57063	86199	123995	48186	64899	30172	25476	31966	75461	74520	18972	0	21475	55034	19113	0	50796	57604	62864	50663	57333.5	51543.6666666667	29022.8693765895	20.7384546871521	3.13835294155435e-05	0.0237887152969819	0.000166061342332156
CBSS-251221.1.peg.1863	23640	22537	20266	19839	22063	24841	20209	0	21037	0	22216	0	38845	13682	21536	0	0	0	22436	21177	0	0	0	18472	0	0	14946	17372	20054	14891	17922	13335.3	11120.9271045861	20.7280467836257	3.15472734773488e-05	0.0239128332958304	0.000166061342332156
Arginine_Biosynthesis_extended	41008	46493	51734	46574	43536	53573	49084	0	46861	0	42544	71362	78947	28203	51117	0	0	0	56546	47715	0	0	0	46330	0	0	31665	39530	52127	30948	41776	31863.2333333333	24917.741276508	20.6951501154734	3.20704645861413e-05	0.0243094121562951	0.000167651118319277
Intracellular_septation_in_Enterobacteria	1701	2710	2167	1606	2963	2807	0	0	1330	0	0	1565	0	980	0	0	169	0	2471	1767	11	0	0	1722	0	0	0	0	3230	0	5.5	906.633333333333	1134.7982498295	20.6706988564168	3.24649527243536e-05	0.02460843416506	0.000168550918938767
DNA_gyrase_subunits	85957	83247	75117	83222	76930	91710	80411	43551	80547	37973	83221	129371	142138	54129	73615	44548	41445	53001	89403	85622	27596	36685	0	60870	26973	37139	65321	68571	72256	63999	70413.5	66485.6	29451.0869158362	20.6038709677419	3.35680618282655e-05	0.0254445908658252	0.000170431471832421
Redox-dependent_regulation_of_nucleus_processes	42440	38493	34583	39023	45165	42654	40223	0	40435	0	24866	56243	67518	27366	34315	0	20920	24764	40993	39583	14658	0	0	34553	0	0	24031	30553	36811	23409	32434	27453.3	18467.9196448963	20.5894120297364	3.3811620429612e-05	0.0256292082856459	0.000170431471832421
CBSS-393121.3.peg.2760	101220	103895	98273	85352	100094	108251	77207	53199	84294	0	77455	115094	137450	47526	69713	0	0	69362	113487	89386	0	0	0	71644	0	0	57920	62268	85026	54468	70678.5	62086.1333333333	42940.8331060737	20.5781002040354	3.40033978350069e-05	0.0257745755589353	0.000170431471832421
Methionine_Biosynthesis	255497	253686	247312	208755	250242	269735	134108	0	0	0	74886	184813	294871	123569	162232	0	0	0	287970	252140	0	0	0	194123	0	0	137989	115798	211942	137167	135637.5	126561.166666667	110777.636574226	20.5706666666667	3.4130015758245e-05	0.0258705519447497	0.000170431471832421
Serine_endopeptidase_(EC_3.4.21.-)	4490	2462	3738	2365	2011	3506	11038	0	4659	0	9457	0	17653	1937	7035	0	0	0	1645	3203	0	0	0	5413	0	0	7999	5749	4238	8067	2413.5	3555.5	4164.97827746126	20.5706666666667	3.4130015758245e-05	0.0258705519447497	0.000170431471832421
riboflavin_to_FAD	13366	11953	10717	10756	17579	12871	0	0	14489	0	0	0	24244	7251	0	0	0	0	21727	11655	0	0	0	9329	0	0	9477	0	11842	9326	3625.5	6552.73333333333	7429.754880318	20.561626429479	3.4284636666241e-05	0.0259877545930107	0.000170431471832421
CBSS-257314.1.peg.676	36648	30977	28534	32720	41499	27372	27678	10058	26050	8914	22993	38504	39004	12987	22261	10755	12741	12613	38771	28591	6489	8554	9264	23313	0	9523	31251	19514	30544	30373	24681.5	22616.5	11658.3470341625	20.4929032258065	3.54831858077667e-05	0.0268962548422871	0.000170431471832421
Cellulosome	4968	3651	1337	2346	2479	4206	5245	65831	5435	58406	4286	7371	9409	1807	4961	80523	63632	59239	4330	1941	89899	29871	76287	1129	95069	82548	5760	4627	4705	5646	5340	26231.4666666667	33341.6573132681	20.4929032258065	3.54831858077667e-05	0.0268962548422871	0.000170431471832421
Glutathione-dependent_pathway_of_formaldehyde_detoxification	6735	4252	4388	3519	4114	5038	4776	0	6596	0	1571	2849	10574	3264	4331	0	508	0	1581	4848	17	0	0	6680	0	0	1604	2673	6561	1648	2761	2937.56666666667	2772.97233386268	20.483427794151	3.56516939153573e-05	0.0270239839878409	0.000170431471832421
F0F1-type_ATP_synthase	71448	68024	67803	69451	68046	74024	56522	33586	70692	33336	55773	87986	137008	46904	60363	30743	40551	39330	72263	80420	28555	27086	24450	55253	27563	26212	38853	43413	60536	38521	55513	54490.5	24282.4640611144	20.48	3.57128496416351e-05	0.0270703400283594	0.000170431471832421
tRNA_aminoacylation,_Ser	24823	23029	20981	22954	21973	25092	23371	0	22947	9901	23709	33654	40269	15890	20760	0	0	13728	25716	24385	7791	0	0	17423	0	0	17231	19169	20817	17268	19964.5	16429.3666666667	10991.2513594734	20.4456859653075	3.63308620876107e-05	0.0275387934624089	0.000170431471832421
Aminopeptidases_(EC_3.4.11.-)	0	0	0	0	0	0	18837	0	0	0	3676	10302	40664	0	24241	0	0	0	0	0	0	0	0	0	0	0	11104	16141	0	11193	0	4538.6	9481.03546869332	20.4405286343612	3.64246681224963e-05	0.0276098984368522	0.000170431471832421
CBSS-83331.1.peg.3039	0	0	0	0	0	0	22469	0	0	0	13316	17726	46511	25612	25303	0	0	0	0	0	0	0	0	34319	0	0	0	20121	0	0	0	6845.9	12638.9250480001	20.4405286343612	3.64246681224963e-05	0.0276098984368522	0.000170431471832421
Histidine_Degradation	0	0	0	0	0	0	5665	0	0	0	9119	11266	10191	0	6414	0	0	0	0	0	0	0	0	0	0	0	6556	8329	0	4737	0	2075.9	3679.7617084581	20.4405286343612	3.64246681224963e-05	0.0276098984368522	0.000170431471832421
L-fucose_utilization_temp	0	0	0	0	0	0	0	0	0	39882	0	0	0	0	0	43126	38792	36487	0	0	39539	37436	0	0	34261	30849	0	0	0	0	0	10012.4	16988.1958604527	20.4405286343612	3.64246681224963e-05	0.0276098984368522	0.000170431471832421
Teichoic_and_lipoteichoic_acids_biosynthesis	0	0	0	0	0	0	5889	0	0	0	6798	9327	11196	0	5526	0	0	0	0	0	0	0	0	10171	0	0	0	5319	0	8775	0	2100.03333333333	3714.88419537641	20.4405286343612	3.64246681224963e-05	0.0276098984368522	0.000170431471832421
At5g04520_AT1G06240	65315	69208	63205	62883	65313	75522	45288	0	0	0	43021	60301	82689	35915	41261	0	0	0	69920	62003	0	0	0	54706	0	0	32501	37607	56202	33798	39434	35221.9333333333	29724.0799746641	20.4187134502924	3.68241482648851e-05	0.0279127043847829	0.000170656579489026
Glycolysis_and_Gluconeogenesis	252148	227256	198754	222938	218487	260840	213039	0	242727	0	181344	287894	397657	137945	205268	0	178523	0	254744	234586	0	0	0	171346	0	0	150244	177611	215854	148006	179933.5	152573.7	112184.977346422	20.4133485714286	3.69230594145122e-05	0.0279876790362003	0.000170656579489026
Serine_Biosynthesis	29437	41650	41872	27376	39064	45459	21241	0	29988	22973	21021	31888	39269	17654	20588	0	25233	0	45666	28276	0	0	0	27100	0	0	16106	17886	33884	15652	22107	21309.4333333333	15443.6797801099	20.396644751757	3.7232728843112e-05	0.0282224084630789	0.000171044899776236
Nitric_oxide_synthase	6289	5830	5800	5269	6220	6361	5994	0	5302	549	6768	8244	11310	3564	7382	0	0	0	7002	5646	0	0	0	4508	0	0	6743	4572	4995	6685	5285.5	4167.76666666667	3234.75267597272	20.3338057142857	3.84211350773075e-05	0.0291232203885991	0.000173928327524899
Ribosomal_protein_S12p_Asp_methylthiotransferase	44876	40175	39206	40134	40248	46911	45301	0	46496	0	39126	67372	81505	21845	47446	0	0	0	44937	42521	0	0	0	31135	0	0	36620	39802	36861	35902	37993.5	28947.3	23106.0833207218	20.309376443418	3.88933131058436e-05	0.0294811313342294	0.000173928327524899
TCA_Cycle	160488	160269	158910	138703	131951	171516	234644	0	169783	0	146897	242147	424433	95441	215317	0	0	0	128637	129689	0	0	0	183133	0	0	107787	143038	144985	106350	130820	113137.266666667	99963.107061084	20.309376443418	3.88933131058436e-05	0.0294811313342294	0.000173928327524899
Spore_Coat	6505	5949	5893	5272	6290	6429	6027	0	5303	666	6768	8344	11476	3619	7455	0	0	0	7734	5660	0	0	0	4560	0	0	6932	4661	5141	6875	5287.5	4251.96666666667	3298.66538825601	20.26752	3.97158581661933e-05	0.0301046204899745	0.000173928327524899
tRNA_aminoacylation,_Tyr	23965	22437	21079	21911	20334	24155	22070	0	22264	10407	23895	33581	40871	15126	20962	12875	0	14183	24528	22477	8886	0	0	17576	0	0	18872	19723	19924	18193	19823.5	16676.4666666667	10370.8225515338	20.2583856502242	3.98976622858437e-05	0.0302424280126695	0.000173928327524899
Divergent_RNA_modification_related_clusters	3523	3377	2964	2898	2989	2779	1931	0	1481	0	1932	0	3410	2547	1360	0	0	0	4522	2580	0	0	0	0	0	0	0	0	2740	0	680	1367.76666666667	1505.90663912048	20.2550444726811	3.99643705780177e-05	0.0302929928981374	0.000173928327524899
Transcription_initiation,_bacterial_sigma_factors	34317	37164	37065	33335	34883	38787	33608	0	30187	0	0	0	0	17469	35201	0	0	0	34951	36520	0	0	0	30827	0	0	0	26339	29427	0	8734.5	16336	17028.850760016	20.2550444726811	3.99643705780177e-05	0.0302929928981374	0.000173928327524899
tRNA_aminoacylation,_Val	51532	50940	46469	47461	48577	58809	49554	24417	50497	20247	50948	77774	89136	31418	46992	0	21891	28992	55839	51034	15934	0	0	38790	15821	0	38102	42919	45351	36803	44135	37874.9	21970.2898107641	20.2359866220736	4.03470082476525e-05	0.0305830322517206	0.000173928327524899
Alkaloid_biosynthesis_from_L-lysine	831	174	515	225	710	802	2966	0	549	32	2943	2903	0	230	2102	0	0	0	404	461	0	0	0	1388	0	0	2784	1872	666	2703	432.5	842	1064.8247386955	20.2350346420323	4.03662175923059e-05	0.0305975929349679	0.000173928327524899
At2g23840	63949	55958	51645	56600	55725	66412	58082	0	64266	0	61487	87304	106633	39608	53783	0	0	39819	65538	60223	0	0	0	46886	24036	0	47570	50189	55801	46420	50917	41931.1333333333	29321.6848292009	20.2309680344593	4.04483778754843e-05	0.0306598704296171	0.000173928327524899
Cysteine_Biosynthesis	46691	45436	48367	38901	34882	48265	53396	0	46691	0	22866	53563	94362	29483	40362	0	0	0	35983	43027	0	0	0	50356	0	0	23974	28885	42021	22613	32182.5	28337.4666666667	24030.6041707069	20.2283206283206	4.05019549696871e-05	0.0307004818670228	0.000173928327524899
tRNA_aminoacylation,_Leu	50988	48638	42298	45550	45383	53130	46162	0	48444	21602	47821	74069	82744	28876	43229	0	0	32063	54487	49478	20107	0	0	35330	19634	0	37261	40660	43037	36828	41479	34927.3	22060.981363031	20.2115695067265	4.08426061368285e-05	0.030958695451716	0.000173928327524899
